timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-24T14:14:39.607,pod-50,node-tg96x,Running,update,701m,423Mi
2025-04-24T14:14:39.627,pod-50,node-tg96x,Running,update,701m,423Mi
2025-04-24T14:14:39.704,pod-47,node-vkqxp,Running,update,1131m,462Mi
2025-04-24T14:14:39.712,pod-47,node-vkqxp,Running,update,1131m,462Mi
2025-04-24T14:14:39.714,pod-47,node-vkqxp,Running,delete,1131m,462Mi
2025-04-24T14:14:41.120,pod-52,,Pending,add,706m,696Mi
2025-04-24T14:14:41.122,pod-51,,Pending,add,646m,114Mi
2025-04-24T14:14:41.137,pod-52,node-vkqxp,Pending,update,706m,696Mi
2025-04-24T14:14:41.145,pod-51,node-tg96x,Pending,update,646m,114Mi
2025-04-24T14:14:41.152,pod-51,node-tg96x,Running,update,646m,114Mi
2025-04-24T14:14:41.179,pod-52,node-vkqxp,Running,update,706m,696Mi
2025-04-24T14:14:41.311,pod-52,node-vkqxp,Running,update,706m,696Mi
2025-04-24T14:14:41.324,pod-51,node-tg96x,Running,update,646m,114Mi
2025-04-24T14:14:42.114,pod-53,,Pending,add,1161m,673Mi
2025-04-24T14:14:42.131,pod-53,,Pending,update,1161m,673Mi
2025-04-24T14:14:42.145,pod-53,,Pending,update,1161m,673Mi
2025-04-24T14:14:46.119,pod-54,,Pending,add,665m,514Mi
2025-04-24T14:14:46.119,pod-55,,Pending,add,935m,468Mi
2025-04-24T14:14:46.130,pod-54,node-vkqxp,Pending,update,665m,514Mi
2025-04-24T14:14:46.136,pod-55,,Pending,update,935m,468Mi
2025-04-24T14:14:46.140,pod-54,node-vkqxp,Running,update,665m,514Mi
2025-04-24T14:14:46.152,pod-54,node-vkqxp,Running,update,665m,514Mi
2025-04-24T14:14:46.164,pod-55,,Pending,update,935m,468Mi
2025-04-24T14:14:48.114,pod-56,,Pending,add,1186m,605Mi
2025-04-24T14:14:48.133,pod-56,,Pending,update,1186m,605Mi
2025-04-24T14:14:48.151,pod-56,,Pending,update,1186m,605Mi
2025-04-24T14:14:48.185,pod-52,node-vkqxp,Running,update,706m,696Mi
2025-04-24T14:14:48.191,pod-52,node-vkqxp,Running,update,706m,696Mi
2025-04-24T14:14:48.197,pod-52,node-vkqxp,Running,delete,706m,696Mi
2025-04-24T14:14:52.617,pod-35,node-vkqxp,Running,update,1368m,377Mi
2025-04-24T14:14:52.626,pod-44,node-tg96x,Running,update,1443m,494Mi
2025-04-24T14:14:52.630,pod-35,node-vkqxp,Running,update,1368m,377Mi
2025-04-24T14:14:52.639,pod-44,node-tg96x,Running,update,1443m,494Mi
2025-04-24T14:14:52.640,pod-35,node-vkqxp,Running,delete,1368m,377Mi
2025-04-24T14:14:52.640,pod-44,node-tg96x,Running,delete,1443m,494Mi
2025-04-24T14:14:52.658,pod-56,node-tg96x,Pending,update,1186m,605Mi
2025-04-24T14:14:52.671,pod-53,node-vkqxp,Pending,update,1161m,673Mi
2025-04-24T14:14:52.673,pod-53,node-vkqxp,Running,update,1161m,673Mi
2025-04-24T14:14:52.680,pod-56,node-tg96x,Running,update,1186m,605Mi
2025-04-24T14:14:52.697,pod-56,node-tg96x,Running,update,1186m,605Mi
2025-04-24T14:14:52.715,pod-53,node-vkqxp,Running,update,1161m,673Mi
2025-04-24T14:14:55.622,pod-55,node-vkqxp,Pending,update,935m,468Mi
