timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-18T22:09:15.480,pod-83,,Pending,update,1034m,195Mi
2025-04-18T22:09:15.491,pod-83,,Pending,update,1034m,195Mi
2025-04-18T22:09:15.856,pod-71,node-tg96x,Running,update,609m,211Mi
2025-04-18T22:09:15.869,pod-71,node-tg96x,Running,update,609m,211Mi
2025-04-18T22:09:15.879,pod-71,node-tg96x,Running,delete,609m,211Mi
2025-04-18T22:09:17.463,pod-84,,Pending,add,639m,439Mi
2025-04-18T22:09:17.481,pod-84,node-tg96x,Pending,update,639m,439Mi
2025-04-18T22:09:17.491,pod-84,node-tg96x,Running,update,639m,439Mi
2025-04-18T22:09:17.500,pod-84,node-tg96x,Running,update,639m,439Mi
2025-04-18T22:09:20.940,pod-78,node-vkqxp,Running,update,1161m,393Mi
2025-04-18T22:09:20.953,pod-78,node-vkqxp,Running,update,1161m,393Mi
2025-04-18T22:09:20.957,pod-78,node-vkqxp,Running,delete,1161m,393Mi
2025-04-18T22:09:20.970,pod-83,node-vkqxp,Pending,update,1034m,195Mi
2025-04-18T22:09:20.980,pod-83,node-vkqxp,Running,update,1034m,195Mi
2025-04-18T22:09:21.010,pod-83,node-vkqxp,Running,update,1034m,195Mi
2025-04-18T22:09:21.507,pod-82,node-tg96x,Running,update,1585m,675Mi
2025-04-18T22:09:21.522,pod-82,node-tg96x,Running,update,1585m,675Mi
2025-04-18T22:09:21.532,pod-82,node-tg96x,Running,delete,1585m,675Mi
2025-04-18T22:09:22.467,pod-85,,Pending,add,1159m,454Mi
2025-04-18T22:09:22.483,pod-85,node-tg96x,Pending,update,1159m,454Mi
2025-04-18T22:09:22.497,pod-85,node-tg96x,Running,update,1159m,454Mi
2025-04-18T22:09:22.617,pod-85,node-tg96x,Running,update,1159m,454Mi
2025-04-18T22:09:23.000,pod-83,node-vkqxp,Running,update,1034m,195Mi
2025-04-18T22:09:23.015,pod-83,node-vkqxp,Running,update,1034m,195Mi
2025-04-18T22:09:23.018,pod-83,node-vkqxp,Running,delete,1034m,195Mi
2025-04-18T22:09:23.467,pod-86,,Pending,add,1242m,822Mi
2025-04-18T22:09:23.481,pod-86,node-vkqxp,Pending,update,1242m,822Mi
2025-04-18T22:09:23.492,pod-86,node-vkqxp,Running,update,1242m,822Mi
2025-04-18T22:09:23.499,pod-75,node-tg96x,Running,update,630m,444Mi
2025-04-18T22:09:23.507,pod-75,node-tg96x,Running,update,630m,444Mi
2025-04-18T22:09:23.512,pod-75,node-tg96x,Running,delete,630m,444Mi
2025-04-18T22:09:23.609,pod-86,node-vkqxp,Running,update,1242m,822Mi
2025-04-18T22:09:25.572,pod-87,,Pending,add,1012m,805Mi
2025-04-18T22:09:25.572,pod-80,node-tg96x,Running,update,793m,551Mi
2025-04-18T22:09:25.613,pod-80,node-tg96x,Running,update,793m,551Mi
2025-04-18T22:09:25.625,pod-80,node-tg96x,Running,delete,793m,551Mi
2025-04-18T22:09:25.646,pod-87,node-tg96x,Pending,update,1012m,805Mi
2025-04-18T22:09:25.674,pod-87,node-tg96x,Running,update,1012m,805Mi
